    0.6061    0.7054    0.4968    0.2819    0.7826    0.9900    0.3408    0.5165    0.4663    0.1845
    0.7654    0.7748    0.7794    0.3045    0.6597    0.0674    0.4985    0.5849    0.9582    0.3961
    0.9895    0.5911    0.3229    0.3196    0.7025    0.8557    0.6586    0.8259    0.5449    0.3100
    0.5669    0.4738    0.2275    0.0501    0.8930    0.4632    0.7018    0.3819    0.9858    0.9281
    0.9034    0.1629    0.9381    0.1449    0.1826    0.7236    0.6488    0.0118    0.3393    0.3385
    0.2605    0.9802    0.4101    0.1492    0.2749    0.4398    0.1192    0.6534    0.3839    0.1106
    0.9545    0.3967    0.1257    0.2153    0.8910    0.1815    0.4226    0.0256    0.5100    0.1926
    0.3065    0.0542    0.2742    0.4550    0.8177    0.3294    0.2393    0.4827    0.4241    0.4865
    0.7311    0.2903    0.1364    0.5331    0.1806    0.9619    0.5279    0.0235    0.9406    0.0120
    0.2106    0.0831    0.4924    0.7850    0.2140    0.0746    0.7130    0.8460    0.9121    0.3319
